2656.55,9814.42,2731.47,4652.47,1009.46,23838.33,3,25.5,2.7,663.52,11.78,18204.64,1.18,2.22,2.56,1912.14,4.66,568.3,20.16,10.12,2540.52,50.42,94.09,9.73,8.47,576.55,2095.69,1.84,3.1,7.41,519.17,733.28,2502.34,2.12,1294.24,88.66,4.65,12.42,3522.61,2885.56,26893.44,1914.17,485.35,492.68,832.21,3358.45,2837.33,1371.42,4882.11,452.13,954.03,3206.18,5540.83,5573.21,3045.69,2362.42,348.27,2326.14,4547.46,1499.36,1365.55,7407.76,742.92,1397.7,677.55,831.04,7392.86,911.79,4267.45,1315.61,9140.52,517.71,392.73,1134.16,3602.66,160.19,3320.3,2937.9,8200.27,18.89,6326.8,5723.7,4159.19,3.74,67.56,9.73,5.45,27.86,0.67,67.21,9.45,10.66,2.85,37.93,0.71,2.41,13.38,1339.66,2671.01,8868.23,3347.9,3099.47,17854.12,975.67,1237.2,3751.67,3415.21,15754.89,602.87,91.23,49.61,4.18,7477.85,540.34,2213.17,493.02,2845.27,4843.88,1.22,1138.54,6.14,19.83,1.52
299.59,27328.32,1170.92,6399.14,3.44,44.97,2.3,30.76,2.35,2.2,7.07,11272.16,0.71,1.01,2.3,6.32,2.71,1.89,3.64,500.81,8.1,152.58,528.85,4.98,4.77,8.4,24.78,1.51,2.23,3.71,1.71,9.39,93.55,1.95,8.74,7.42,3.24,3.5,35.05,32.16,87.17,6.77,1.61,1.64,2.75,101.18,20.38,4.54,15.37,1.5,199.36,21.08,18.41,18.35,34.82,7.8,1.16,70.36,15.15,8.68,4.59,61.03,32.32,10.1,2.35,2.76,24.51,3.03,14.33,4.92,213.3,11.91,2.64,330.78,164.7,0.53,10.24,8.72,577.29,11.82,20.57,101.74,118.22,2.57,3.16,6.48,1.58,5.67,0.65,68.09,8.02,6.36,2.6,14.71,0.79,2.23,5.11,4.45,8.67,29.36,10.91,10.28,1243.94,3.24,5.92,12.57,11.3,575.14,2,14.62,9,3.69,25.04,1.8,7.36,1.64,50.6,3600.47,1479.75,194.45,5.27,5.61,1.48
5.21,5248.87,36078.48,6312.56,372.76,12.81,1.17,132.75,5.34,1.12,22.4,9140.51,0.36,0.51,1.17,3.22,14.83,0.96,22.99,57.69,182.2,14.45,179.19,2.54,2.43,4.28,820.69,0.77,16.45,1.89,17.79,425.01,149.32,0.99,1157.05,3.78,1.65,1.78,945.01,197.39,225.93,7.49,0.82,0.83,23.78,466.21,661.86,4.28,558.25,6.12,156.01,1146.19,1638.56,1640.87,4102.55,1134.25,0.59,42.18,10.98,21.19,46.19,1631.94,5945.13,298.84,66.98,10.45,4107.46,1.64,661.21,17.86,14.78,2.78,0.66,104.68,459.79,0.27,5.22,5.72,113.85,9.76,224.17,3018.5,443.51,1.31,1.61,239.57,0.8,9.29,0.33,8.59,4.09,3.24,1.33,7.5,0.4,1.14,4.34,19.28,1959.63,499.72,67.69,1664.76,65642.71,181.42,307.36,146.75,955.69,18514.18,410.32,9.86,4.59,1.88,361.09,43.15,124.45,0.84,241.4,3106.27,536.68,468.44,2.69,2.86,0.75
38.02,1215.53,13891.48,26104.81,134.53,19.6,0,22.57,12.01,0,3.57,15820.82,0.67,1,2.33,0,0,17.38,2.04,8.87,12.85,0,53.1,5.07,1.87,0,89.85,1.53,2.27,6.36,5.33,104.75,13.36,1.93,42.34,7.6,3.27,3.53,1257.67,157.04,173.43,21.72,1.6,1.67,112.66,18.83,0.57,5.05,125.64,0,0,0,12.24,0,109.84,205.88,0,601.49,916.38,382.95,4.6,623.95,285.15,39.53,13.46,13.63,1641.88,186.75,105.86,21.64,0,0,0,0,3847.78,0.53,0,11.63,400.53,0,40.9,3210.7,848.36,2.6,3.2,6.6,1.6,5.8,0,57.56,0,0,2.6,0,0,2.27,2.13,3.78,25.43,25.19,11.13,145.01,16565.56,31.33,47.56,49.83,246.33,3077.67,238.77,34.92,9.2,0,4968.97,8.87,0,0,204.98,5142.6,385.13,1277.77,5.33,5.73,1.47
0,3.97,0,0,20743.84,11651.44,1640.46,537.2,700.6,1444.6,19.78,7018.15,240.49,73.8,17.9,2118.33,37.04,213.22,98.31,109.64,2487.3,130.08,19.21,1618.78,363.68,1321.27,6954.17,626.59,164.97,1137.31,2095.7,921.7,11559.28,147.79,2667.9,108.57,298.27,429,4181.55,15.9,5.71,1.38,5.52,53.33,88.4,11.77,3.84,1.46,2.05,0,0,0,287.3,0.1,687.16,104.84,0,0,0,0,0,25.22,0,0,0,0,0.12,0,7.89,0,208.67,0,0,0,0,37.8,416.52,1.36,84.91,690.18,0,107,0,183.07,232.13,522.34,112.47,417.29,0,0,0,0,185.4,0,0,158.87,175.67,0,15.5,0.97,5.57,2.62,46883.5,37.15,750.66,979.44,0,0.62,0,732.13,747.71,0,1.83,0.08,0,0,0.18,0,0,0,375.53,7.87,0
47.67,0.04,0.01,0.02,141.77,206138.63,1332.66,2343.3,2625.9,19.6,1790.76,93195.09,1086.28,1651.05,1365.3,147.09,1466.62,1339.24,1142.72,3533.52,376.69,1354.28,26917.84,3053.35,3253.1,6027.93,200.76,1509.94,1593.95,3904.2,56.5,211.31,62.78,1451.53,1.27,8406.89,2776.45,2411.19,6387.9,302.95,8551.66,16.77,3246.31,542.42,9.26,1542.96,0.01,0.01,173.89,0,0,0.01,10299.96,0.02,5613.54,1.37,647.27,1012.45,0.02,0.01,0.01,0.03,0,0.01,0,0,0.03,0,0.02,0.01,403.37,0,0,0,0.02,107.95,7.07,87.84,2992.89,0.01,11544.13,8661.89,7733.22,107.74,3160.87,6085.57,1426.24,7497.9,20,3044.39,258.44,359.54,2440.65,1316.46,125.8,1901.62,820.06,0.01,0.01,0.43,0.01,0.01,208.16,0,6.26,301.91,0.01,0.07,0,3954.68,2689.38,127.58,4373.96,1004.67,4113.68,916.47,5128.75,0.03,0,0,468.01,1381.1,884.02
0,1.86,0.17,2,45.13,29260.2,34793.24,3026.16,2577.95,438.41,238.86,5452.53,1787.28,13.01,145.72,3481.17,505.76,68.42,416.68,75.64,360.27,232.18,1306.26,13649.62,2164.49,1482.35,212.47,3488.43,2733.11,763.77,209.32,347.99,555.66,397.54,383.72,330.3,1077.91,152.39,1735.16,14.71,20.86,0,28.94,2.41,10.24,46.79,4.28,0,2.77,0,0,0,132.19,0,123.11,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83,0,0,0,0,2,2.47,31.1,416.85,0,0,9.33,9.41,281.87,299.76,94.48,20.18,135.21,0.05,116.95,0.37,0,0,0,21.87,0,0,0,29.99,0.04,2.14,4.04,31363.38,3.2,133.22,100.65,0,0,0,30.43,0,0,0,0,0,2.37,0,0,0,0,0,0,0
0,0,0,0,1712.44,1250.71,105.84,34882.81,179.94,5087.69,281.18,12878.78,50.6,102.36,178.25,6105.22,61.28,43.97,4217.88,339.83,6376.93,117.11,0.57,547.45,2112.81,646.33,1528.3,38.07,79.48,72.15,3179.13,4919.85,9447.56,331.62,6295.44,1119.06,50.52,675.56,14176.98,11.72,4.97,3.8,18.63,12.36,28.6,5.75,0,0,4.28,0,0,0,105.37,2.04,2434.87,155.9,37.71,0,0,0,0,0,0,0,0,0,0,0,0.08,0,106.67,150.6,0,0,0,2.81,0,11.71,0,0.15,0,0,0,604.4,8807.67,2.08,1.1,492.17,0,3.2,0,544.13,31.8,0,0,0,0,0,14.8,0,1.05,0,51568.75,9.02,567.87,495.63,0,0.56,0,137.4,0,12.47,0,0,0.8,0,56.09,0,0,0,0,349.27,1.27
0,16.45,0,0,180.69,69184.36,10169.62,790.4,29778.08,134.57,4313.16,6524.99,3641.63,18.35,229.2,4231.36,7347.03,26.27,464.43,39.76,462.56,29.38,17.26,463.21,798.55,156.44,82.35,5705.81,1073.59,1157.64,100.82,56.2,144.94,179.87,178.61,222.61,6178.74,59.78,130.24,6.63,7.11,1.8,24.18,1.24,6759.82,114.71,0,0.14,4.61,0,0,0,9.38,0.16,46.5,5.67,3.86,0,0,0,0,0.51,0,0,0,3.87,0,0,0,0,0,0,0,0,0,12.78,6.88,23.14,20.97,7.54,0,28.05,5.63,0,0,6118.1,718.43,1086.59,63.93,0,0,632.53,50.4,0,35.93,4.37,0.04,0,2.25,10.55,0.18,0.79,20985.55,5.73,126.55,163.7,0,1.32,0,41.3,11.2,84.47,10.63,0,6.41,0,1.33,0,0,0,0,0.04,0
0,0,0,0,2940.81,13.69,70.23,1937.41,149.76,38304.44,1.27,1378.8,0,0,4.52,1486.85,10.01,7.64,208.09,2.49,154.93,61.71,0,6.17,188.12,9.32,1282.23,17.73,3.01,2.22,1637.41,659.34,5827.66,201.04,800.55,0.93,13.29,41.07,2209.48,1.95,2.39,3.65,3.66,3.78,0,2.47,0,0,3.99,0,0,0,117.43,0,1458.15,3.65,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15,0,0,0,0,0,0,0,0,2.19,3.43,0,0,0,0,0,0,0,0,0,0,2,0,3.91,0,32082.68,5.97,101.56,32.8,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.33
