Length,Material,Vel_Liv,Vel_Pes,Carriles,Tipo,Nombre,Start,,End,
53.590837,Pavimento,99,70,1,Ruta,RN 9,-65.354773,-24.177362,-65.470456,-23.744126
14.095829,Pavimento,109,79,1,Ruta,RN 34,-65.042070,-24.484127,-64.975107,-24.372775
13.399082,Pavimento,109,79,1,Ruta,RN 1V6,-65.094058,-24.376715,-65.042070,-24.484127
12.145955,Pavimento,109,79,1,Ruta,RN 66,-65.094058,-24.376715,-64.975107,-24.372775
14.365202,Pavimento,109,79,1,Ruta,RN 34,-64.975107,-24.372775,-64.898536,-24.267127
136.213279,Pavimento,99,70,1,Ruta,RN 52,-65.470456,-23.744126,-66.369141,-23.401988
64.911677,Pavimento,70,48,1,Ruta,RN 9,-65.470456,-23.744126,-65.357154,-23.199248
22.153037,Pavimento,70,48,1,Ruta,RN 9,-65.357154,-23.199248,-65.368209,-23.014401
6.296527,Ripio,28,19,1,Ruta,RP 13,-65.368209,-23.014401,-65.352699,-22.974209
132.611908,Pavimento,99,70,1,Ruta,RN 9,-65.368209,-23.014401,-65.599495,-22.107883
4.775202,Ripio,49,35,,Ruta,RN 40,-66.440412,-22.764143,-66.425147,-22.725137
3.557941,Tierra,45,31,,Ruta,RN 40,-66.425147,-22.725137,-66.450501,-22.710938
191.139341,Ripio,49,35,,Ruta,RN 40,-66.450501,-22.710938,-65.599495,-22.107883
2.955186,Pavimento,99,70,,Ruta,RN 283,-65.599495,-22.107883,-65.599106,-22.100893
3.554727,Pavimento,99,70,1,Ruta,RP 5,-65.574043,-22.122469,-65.599106,-22.100893
31.150322,Ripio,28,19,1,Ruta,RP 13,-65.352699,-22.974209,-65.217010,-22.790295
10.341097,Pavimento,99,70,1,Ruta,RP 5,-65.480606,-22.140368,-65.574043,-22.122469
37.018528,SIN DATO,,,,Ruta,RP 13,-69.374374,-42.012905,-69.551933,-42.252132
26.708993,SIN DATO,,,,Ruta,RP 4,-69.551933,-42.252132,-69.239792,-42.273232
0.703286,Pavimento,99,70,,Ruta,RP 13,-69.372225,-42.006787,-69.374374,-42.012905
0.830335,SIN DATO,,,,Ruta,RP 13,-69.369194,-41.999664,-69.372225,-42.006787
212.172114,Pavimento,99,70,,Ruta,RN 26,-67.579410,-45.906533,-69.814581,-45.448650
66.071847,Pavimento,109,79,1,Ruta,RN 3,-67.579410,-45.906533,-67.523492,-46.421316
260.84105,Pavimento,99,70,1,Ruta,RN 40,-69.814581,-45.448650,-70.803171,-43.507132
39.492819,SIN DATO,,,,Ruta,RP 4,-69.215271,-42.276302,-68.819504,-42.389709
4.580281,SIN DATO,,,,Ruta,RP 4,-68.819504,-42.389709,-68.783676,-42.418404
7.26198,SIN DATO,,,,Ruta,RP 4,-68.783676,-42.418404,-68.725700,-42.465481
12.938749,SIN DATO,,,,Ruta,RP 4,-68.725700,-42.465481,-68.572151,-42.483612
4.982427,SIN DATO,,,,Ruta,RP 4,-68.572151,-42.483612,-68.512253,-42.483727
15.68695,SIN DATO,,,,Ruta,RP 4,-68.512253,-42.483727,-68.334641,-42.527267
3.380616,SIN DATO,,,,Ruta,RP 4,-68.334641,-42.527267,-68.295403,-42.520130
10.80922,SIN DATO,,,,Ruta,RP 4,-68.295403,-42.520130,-68.166389,-42.533356
508.135964,Pavimento,99,70,1,Ruta,RN 25,-65.299987,-43.231007,-70.803171,-43.507132
8.037319,Pavimento,109,79,1,Ruta,RN 3,-65.299987,-43.231007,-65.262387,-43.284343
85.757624,Pavimento,99,70,1,Ruta,RN 40,-70.803171,-43.507132,-71.215675,-42.948941
63.013887,SIN DATO,,,,Ruta,RP 4,-67.513695,-42.370087,-68.166389,-42.533356
22.893802,SIN DATO,,,,Ruta,RP 4,-67.513695,-42.370087,-67.269707,-42.431313
4.189944,SIN DATO,,,,Ruta,RP 4,-67.220741,-42.441666,-67.269707,-42.431313
8.590744,SIN DATO,,,,Ruta,RP 4,-67.119759,-42.452976,-67.220741,-42.441666
1.415609,SIN DATO,,,,Ruta,RP 4,-67.103111,-42.456203,-67.119759,-42.452976
31.359416,Pavimento,70,48,1,Ruta,RN 231,-71.696881,-40.691813,-71.944450,-40.712519
168.67105,Pavimento,70,48,1,Ruta,RN 40,-71.696881,-40.691813,-70.827371,-39.999408
72.484553,Pavimento,99,70,1,Ruta,RN 40,-71.153512,-41.032348,-71.696881,-40.691813
90.763014,Pavimento,99,70,1,Ruta,RN 237,-71.153512,-41.032348,-70.773493,-40.567641
188.566096,Pavimento,99,70,1,Ruta,RN 40,-71.132133,-42.322522,-71.292385,-41.134546
14.697933,Pavimento,99,70,1,Ruta,RN 40,-71.292385,-41.134546,-71.162232,-41.066352
137.173692,Ripio,49,35,,Ruta,RN 1S40,-70.681712,-41.120493,-71.162373,-42.051161
53.08551,Pavimento,99,70,1,Ruta,RN 23,-70.681712,-41.120493,-71.162232,-41.066352
12.38448,Pavimento,99,70,,Ruta,RN 1S40,-71.162373,-42.051161,-71.177401,-42.160954
4.505058,Pavimento,99,70,1,Ruta,RN 40,-71.162232,-41.066352,-71.153512,-41.032348
14.683645,Pavimento,99,70,,Ruta,RN 1S40,-70.613134,-41.020017,-70.681712,-41.120493
21.178898,Pavimento,99,70,,Ruta,RN 1S40,-70.773493,-40.567641,-70.707279,-40.698029
20.450141,Pavimento,99,70,1,Ruta,RN 237,-70.773493,-40.567641,-70.646157,-40.435385
171.594107,Pavimento,99,70,1,Ruta,RN 40,-70.827371,-39.999408,-70.074269,-38.904788
60.182793,Ripio,49,35,,Ruta,RN 1S40,-70.707279,-40.698029,-70.613134,-41.020017
57.866992,Pavimento,99,70,1,Ruta,RN 40,-70.646157,-40.435385,-70.827371,-39.999408
1.397779,Pavimento,109,79,1,Ruta,RP 308,-65.654799,-27.620132,-65.667610,-27.625156
0.328065,Pavimento,109,79,1,Ruta,RP 308,-65.667610,-27.625156,-65.670862,-27.624582
0.105126,Pavimento,109,79,1,Ruta,RP 308,-65.653921,-27.619595,-65.654799,-27.620132
0.627135,Pavimento,109,79,1,Ruta,RP 308,-65.649554,-27.615485,-65.653921,-27.619595
0.272051,Pavimento,109,79,1,Ruta,RP 308,-65.647571,-27.613780,-65.649554,-27.615485
0.159252,Pavimento,109,79,1,Ruta,RP 308,-65.646386,-27.612805,-65.647571,-27.613780
0.085432,Pavimento,109,79,1,Ruta,RP 308,-65.645756,-27.612277,-65.646386,-27.612805
0.150535,Pavimento,109,79,1,Ruta,RP 308,-65.644707,-27.611291,-65.645756,-27.612277
0.508455,Pavimento,109,79,1,Ruta,RP 308,-65.641423,-27.607772,-65.644707,-27.611291
0.235539,Pavimento,109,79,1,Ruta,RP 308,-65.639877,-27.606153,-65.641423,-27.607772
0.500804,Pavimento,109,79,1,Ruta,RP 308,-65.639877,-27.606153,-65.636680,-27.602644
0.163583,Pavimento,109,79,1,Ruta,RP 308,-65.636680,-27.602644,-65.635739,-27.601450
0.240697,Pavimento,109,79,1,Ruta,RP 308,-65.635739,-27.601450,-65.634401,-27.599643
0.282835,Pavimento,109,79,1,Ruta,RP 308,-65.634401,-27.599643,-65.632809,-27.597521
2.847147,Pavimento,109,79,1,Ruta,RP 308,-65.632809,-27.597521,-65.612272,-27.580243
25.586382,Pavimento,109,79,,Ruta,RN 38,-65.612272,-27.580243,-65.586653,-27.357052
18.036827,Pavimento,99,70,,Ruta,RN 65,-65.586653,-27.357052,-65.759753,-27.340894
1.310028,Pavimento,60,45,,Avenida,RN 38,-65.586653,-27.357052,-65.583391,-27.345795
34.094155,Ripio,49,35,,Ruta,RN 65,-65.759753,-27.340894,-65.970226,-27.345692
21.225729,Pavimento,109,79,,Ruta,RN 38,-65.583391,-27.345795,-65.494933,-27.174959
49.624481,Pavimento,109,79,1,Ruta,RN 64,-65.101177,-28.191205,-65.504414,-28.046949
41.934682,Pavimento,109,79,1,Ruta,RN 157,-65.101177,-28.191205,-65.192877,-27.828513
9.783141,Pavimento,109,79,1,Ruta,RN 64,-65.504414,-28.046949,-65.580615,-28.005030
39.490359,Pavimento,109,79,1,Ruta,RP 334,-65.584780,-27.769114,-65.192877,-27.828513
22.477404,Pavimento,109,79,,Ruta,RN 38,-65.584780,-27.769114,-65.612272,-27.580243
18.756591,Pavimento,109,79,1,Ruta,RN 157,-65.192877,-27.828513,-65.239901,-27.666381
45.945692,Pavimento,109,79,1,Ruta,RN 157,-65.243342,-27.644372,-65.350458,-27.258563
17.502458,Pavimento,109,79,1,Ruta,RP 325,-65.350458,-27.258563,-65.494933,-27.174959
36.033505,Pavimento,109,79,1,Ruta,RN 157,-65.350458,-27.258563,-65.270395,-26.951638
2.612938,Pavimento,109,79,1,Ruta,RN 157,-65.239901,-27.666381,-65.243342,-27.644372
25.145534,Pavimento,109,79,1,Ruta,RP 308,-64.988804,-27.686292,-65.239901,-27.666381
7.861053,SIN DATO,,,,Ruta,RP 43,-66.916214,-27.226254,-66.874963,-27.274159
86.811222,Pavimento,109,79,1,Ruta,RN 40,-66.874963,-27.274159,-66.165731,-26.986013
44.307246,SIN DATO,,,,Ruta,RP 43,-66.739082,-26.886747,-66.916214,-27.226254
92.468994,SIN DATO,,,,Ruta,RP 43,-67.261848,-26.478052,-66.739082,-26.886747
21.495659,Pavimento,109,79,1,Ruta,RN 40,-66.165731,-26.986013,-66.079657,-26.816316
88.056495,SIN DATO,,,,Ruta,RP 47,-66.165731,-26.986013,-66.319550,-27.581100
26.645891,Pavimento,109,79,1,Ruta,RN 40,-66.079657,-26.816316,-66.042844,-26.601551
35.648953,Pavimento,99,70,,Ruta,RP 337,-66.079657,-26.816316,-65.919228,-26.587297
