LENGTH,DATA,RUTA,JURISDIC,ETIQUETA_R,PROVINCIA,MATERIAL,PEAJE,CARRILES,JERARQUIA,TOPOGRAFIA,VEL_LIV,VEL_PES
105.41,"133","143",RN,RN 143,MENDOZA,Pavimento,"0","1",Ruta,L,"109","79"
0.44,"1794","40",RN,RN 40,MENDOZA,Pavimento,"0",,Ruta,O,"99","70"
77.38,"979","188",RN,RN 188,MENDOZA,Ripio,"0",,Ruta,O,"49","35"
46.71,"994","143",RN,RN 143,MENDOZA,Pavimento,"0","1",Ruta,L,"109","79"
23.54,"175","160",RP,RP 160,MENDOZA,Pavimento,"0","1",Ruta,L,"109","79"
24.83,"131","143",RN,RN 143,MENDOZA,Pavimento,"0","1",Ruta,L,"109","79"
161.91,"129","143",RN,RN 143,MENDOZA,Pavimento,"0","1",Ruta,L,"109","79"
230.56,"136","146",RN,RN 146,MENDOZA,Pavimento,"0","1",Ruta,L,"109","79"
87.70,"1027","7",RN,RN 7,MENDOZA,Pavimento,"0","1",Ruta,M,"70","48"
23.58,"966","149",RN,RN 149,MENDOZA,Pavimento,"0","1",Ruta,O,"99","70"
36.33,"1759","149",RN,RN 149,MENDOZA,Ripio,"0",,Ruta,O,"49","35"
35.72,"1028","149",RN,RN 149,SAN JUAN,Pavimento,"0","1",Ruta,M,"70","48"
249.67,"1758","149",RN,RN 149,SAN JUAN,Pavimento,"0",,Ruta,M,"70","48"
52.46,"1765","150",RN,RN 150,SAN JUAN,Ripio,"0",,Ruta,M,"28","19"
36.19,"1031","150",RN,RN 150,SAN JUAN,Pavimento,"0",,Ruta,M,"70","48"
97.30,"504","40",RN,RN 40,MENDOZA,Pavimento,"0","1",Ruta,L,"109","79"
93.20,"946","7",RN,RN 7,MENDOZA,Pavimento,"0","1",Ruta,M,"70","48"
23.68,"1026","40",RN,RN 40,MENDOZA,Pavimento,"0","2",Ruta,L,"109","79"
74.88,"1760","153",RN,RN 153,MENDOZA,Tierra,"0",,Ruta,M,"25","17"
114.16,"505","40",RN,RN 40,MENDOZA,Pavimento,"0","1",Ruta,L,"109","79"
37.03,"1029","153",RN,RN 153,MENDOZA,Pavimento,"0","1",Ruta,M,"70","48"
6.27,"1766","153",RN,RN 153,SAN JUAN,Pavimento,"0",,Ruta,L,"109","79"
12.18,"1767","153",RN,RN 153,SAN JUAN,Ripio,"0",,Ruta,L,"66","48"
8.78,"974","153",RN,RN 153,SAN JUAN,Tierra,"0",,Ruta,L,"59","43"
10.54,"1030","40",RN,RN 40,SAN JUAN,Pavimento,"0",,AutovIa,L,"112","80"
20.51,"892","40",RN,RN 40,SAN JUAN,Pavimento,"0",,Ruta,L,"109","79"
70.88,"815",A01,RN,RN A01,SAN JUAN,Pavimento,"0",,AutovIa,L,"112","80"
17.55,"893","40",RN,RN 40,SAN JUAN,Pavimento,"0",,Ruta,L,"109","79"
