LENGTH,DATA,RUTA,JURISDIC,ETIQUETA_R,PROVINCIA,MATERIAL,PEAJE,CARRILES,JERARQUIA,TOPOGRAFIA,VEL_LIV,VEL_PES
5.92,"1080","13",RP,RP 13,NEUQUEN,Pavimento,"0","1",Ruta,M,"70","48"
3.78,"1171","13",RP,RP 13,NEUQUEN,Pavimento,"0","1",Ruta,M,"70","48"
7.97,"1082","13",RP,RP 13,NEUQUEN,Pavimento,"0","1",Ruta,M,"70","48"
6.64,"1170","13",RP,RP 13,NEUQUEN,Pavimento,"0","1",Ruta,M,"70","48"
11.16,"1078","13",RP,RP 13,NEUQUEN,Pavimento,"0","1",Ruta,M,"70","48"
58.76,"945","242",RN,RN 242,NEUQUEN,Pavimento,"0","1",Ruta,M,"70","48"
158.87,"995","40",RN,RN 40,NEUQUEN,Pavimento,"0","1",Ruta,M,"70","48"
6.02,"1079","92",RP,RP 92,NEUQUEN,Pavimento,"0","1",Ruta,M,"70","48"
7.97,"1077","13",RP,RP 13,NEUQUEN,Pavimento,"0","1",Ruta,M,"70","48"
1.47,"943","40",RN,RN 40,NEUQUEN,Pavimento,"0",,Avenida,M,"47","36"
0.23,"996","22",RN,RN 22,NEUQUEN,Pavimento,"0",,Avenida,M,"47","36"
248.73,"303","237",RN,RN 237,NEUQUEN,Pavimento,"0","1",Ruta,L,"109","79"
78.76,"1694","22",RN,RN 22,NEUQUEN,Pavimento,"0","1",Ruta,L,"109","79"
52.73,"1693","40",RN,RN 40,NEUQUEN,Pavimento,"0","1",Ruta,O,"99","70"
139.97,"299","23",RN,RN 23,RIO NEGRO,Pavimento,"0","1",Ruta,O,"99","70"
177.89,"688","8",RP,RP 8,RIO NEGRO,Pavimento,"0","1",Ruta,O,"99","70"
57.08,"1784","40",RN,RN 40,SANTA CRUZ,Pavimento,"0",,Ruta,O,"99","70"
56.47,"309","25",RP,RP 25,SANTA CRUZ,Pavimento,"0","1",Ruta,L,"109","79"
4.32,"318","27",RP,RP 27,SANTA CRUZ,Pavimento,"0","1",Ruta,O,"99","70"
74.03,"327","288",RN,RN 288,SANTA CRUZ,Pavimento,"0","1",Ruta,O,"99","70"
113.50,"1013","27",RP,RP 27,SANTA CRUZ,Pavimento,"0","1",Ruta,O,"99","70"
279.26,"496","40",RN,RN 40,SANTA CRUZ,Pavimento,"0","1",Ruta,O,"99","70"
64.85,"950","281",RN,RN 281,SANTA CRUZ,Pavimento,"0","1",Ruta,O,"99","70"
11.47,"1010","40",RN,RN 40,SANTA CRUZ,Pavimento,"0",,Ruta,O,"99","70"
80.51,"497","40",RN,RN 40,SANTA CRUZ,Pavimento,"0","1",Ruta,O,"99","70"
238.04,"525","43",RP,RP 43,SANTA CRUZ,Pavimento,"0","1",Ruta,L,"109","79"
8.90,"336","3",RN,RN 3,SANTA CRUZ,Pavimento,"0","1",Ruta,L,"109","79"
42.29,"987","288",RN,RN 288,SANTA CRUZ,Pavimento,"0","1",Ruta,L,"109","79"
376.31,"1012","3",RN,RN 3,SANTA CRUZ,Pavimento,"0","1",Ruta,L,"109","79"
41.25,"81","12",RP,RP 12,SANTA CRUZ,Pavimento,"0",,Ruta,O,"99","70"
59.99,"986","281",RN,RN 281,SANTA CRUZ,Pavimento,"0","1",Ruta,L,"109","79"
15.59,"1011","3",RN,RN 3,SANTA CRUZ,Pavimento,"0","1",Ruta,L,"109","79"
60.97,"339","3",RN,RN 3,SANTA CRUZ,Pavimento,"0","1",Ruta,L,"109","79"
11.41,"788","99",RP,RP 99,SANTA CRUZ,Ripio,"0","1",Avenida,L,"30","23"
15.72,"82","12",RP,RP 12,SANTA CRUZ,Pavimento,"0",,Avenida,L,"60","45"
0.13,"930","12",RP,RP 12,SANTA CRUZ,SIN DATO,"0",,Ruta,L,,
15.63,"931","3",RN,RN 3,SANTA CRUZ,Pavimento,"0","1",Avenida,L,"60","45"
66.07,"341","3",RN,RN 3,SANTA CRUZ,Pavimento,"0","1",Ruta,L,"109","79"
104.92,"959","260",RN,RN 260,CHUBUT,Ripio,"0",,Ruta,O,"49","35"
260.84,"498","40",RN,RN 40,CHUBUT,Pavimento,"0","1",Ruta,O,"99","70"
83.51,"1009","40",RN,RN 40,CHUBUT,Pavimento,"0","1",Ruta,L,"109","79"
85.76,"499","40",RN,RN 40,CHUBUT,Pavimento,"0","1",Ruta,O,"99","70"
85.47,"500","40",RN,RN 40,CHUBUT,Pavimento,"0","1",Ruta,O,"99","70"
19.95,"1782",1S40,RN,RN 1S40,RIO NEGRO,Ripio,"0",,Ruta,O,"49","35"
12.38,"1781",1S40,RN,RN 1S40,RIO NEGRO,Pavimento,"0",,Ruta,O,"99","70"
26.71,"1074","4",RP,RP 4,CHUBUT,SIN DATO,"0",,Ruta,O,,
1.21,"1165","4",RP,RP 4,CHUBUT,SIN DATO,"0",,Ruta,O,,
0.84,"1164","4",RP,RP 4,CHUBUT,SIN DATO,"0",,Ruta,O,,
2.88,"1097","17",RP,RP 17,NEUQUEN,Pavimento,"0","1",Avenida,L,"60","45"
0.96,"1176","17",RP,RP 17,NEUQUEN,Pavimento,"0","1",Ruta,L,"109","79"
18.64,"1096","17",RP,RP 17,NEUQUEN,Pavimento,"0","1",Ruta,L,"109","79"
56.11,"273","22",RN,RN 22,NEUQUEN,Pavimento,"0","1",Ruta,L,"109","79"
48.99,"278","22",RN,RN 22,NEUQUEN,Pavimento,"0","1",Ruta,L,"109","79"
0.84,"1177","17",RP,RP 17,NEUQUEN,Pavimento,"0","1",Ruta,L,"109","79"
37.13,"1095","17",RP,RP 17,NEUQUEN,Pavimento,"0","1",Ruta,L,"109","79"
3.98,"1094","17",RP,RP 17,NEUQUEN,Pavimento,"0","1",Ruta,L,"109","79"
6.67,"1092","1",RP,RP 1,NEUQUEN,Pavimento,"0","1",Ruta,L,"109","79"
12.27,"1093","1",RP,RP 1,NEUQUEN,Pavimento,"0","1",Ruta,L,"109","79"
5.07,"1091","7",RP,RP 7,NEUQUEN,Pavimento,"0","2",Ruta,L,"109","79"
16.91,"1090","7",RP,RP 7,NEUQUEN,Pavimento,"0","2",Ruta,L,"109","79"
18.41,"1089","7",RP,RP 7,NEUQUEN,Pavimento,"0","2",Ruta,L,"109","79"
4.86,"1088","7",RP,RP 7,NEUQUEN,Pavimento,"0","2",Ruta,L,"109","79"
5.16,"649","7",RP,RP 7,NEUQUEN,Pavimento,"0","2",Ruta,L,"109","79"
1.01,"150","151",RN,RN 151,RIO NEGRO,Pavimento,"0",,Ruta,L,"109","79"
23.41,"1087","7",RP,RP 7,NEUQUEN,Pavimento,"0","2",Ruta,L,"109","79"
4.91,"279","22",RN,RN 22,NEUQUEN,Pavimento,"0","1",Avenida,L,"60","45"
24.84,"836","7",RP,RP 7,NEUQUEN,Pavimento,"0","2",Ruta,L,"109","79"
29.96,"149","151",RN,RN 151,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
70.34,"581","6",RP,RP 6,RIO NEGRO,Pavimento,"0","1",Ruta,O,"99","70"
36.78,"274","22",RN,RN 22,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
1.00,"1349","6",RP,RP 6,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
1.01,"1348","6",RP,RP 6,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
1.03,"1058","6",RP,RP 6,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
0.91,"1057","6",RP,RP 6,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
6.99,"1056","6",RP,RP 6,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
8.36,"1055","6",RP,RP 6,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
126.79,"1695","151",RN,RN 151,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
54.59,"1052","6",RP,RP 6,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
19.13,"1053","6",RP,RP 6,RIO NEGRO,Pavimento,"0","1",Ruta,O,"99","70"
16.73,"1054","6",RP,RP 6,RIO NEGRO,Pavimento,"0","1",Ruta,L,"109","79"
12.15,"622","65",RP,RP 65,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
82.45,"621","65",RP,RP 65,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
49.21,"653","70",RP,RP 70,BUENOS AIRES,Tierra,"0",,Ruta,L,"59","43"
57.60,"293","226",RN,RN 226,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
97.73,"400","33",RN,RN 33,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
75.98,"287","226",RN,RN 226,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
142.00,"201","188",RN,RN 188,BUENOS AIRES,Pavimento,"1","1",Ruta,L,"109","79"
129.50,"674","8",RN,RN 8,CORDOBA,Pavimento,"1","1",Ruta,L,"109","79"
111.93,"636","7",RN,RN 7,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
95.16,"401","33",RN,RN 33,SANTA FE,Pavimento,"0","1",Ruta,L,"109","79"
26.28,"673","8",RN,RN 8,SANTA FE,Pavimento,"0","1",Ruta,L,"109","79"
97.32,"566","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
38.42,"565","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
49.44,"539","5",RN,RN 5,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
54.64,"203","188",RN,RN 188,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
93.27,"623","65",RP,RP 65,BUENOS AIRES,SIN DATO,"0","1",Ruta,L,,
7.26,"624","65",RP,RP 65,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
5.31,"635","7",RN,RN 7,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
1.87,"1338","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
0.67,"1337","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
5.24,"1132","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
1.53,"1336","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
2.61,"1335","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
1.72,"1334","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
5.87,"1133","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
1.42,"1332","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
1.10,"1333","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
1.67,"1331","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
2.34,"1329","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
2.05,"1135","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
54.84,"402","33",RN,RN 33,SANTA FE,Pavimento,"1","1",Ruta,L,"109","79"
41.60,"675","8",RN,RN 8,SANTA FE,Pavimento,"0","1",Ruta,L,"109","79"
49.94,"572","51",RP,RP 51,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
31.91,"573","51",RP,RP 51,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
5.34,"258","205",RN,RN 205,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
33.77,"541","5",RN,RN 5,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
19.00,"574","51",RP,RP 51,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
15.36,"542","5",RN,RN 5,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
12.93,"370","30",RP,RP 30,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
34.49,"371","30",RP,RP 30,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
53.34,"576","51",RP,RP 51,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
50.91,"638","7",RN,RN 7,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
40.82,"216","191",RP,RP 191,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
48.46,"382","31",RP,RP 31,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
39.49,"679","8",RN,RN 8,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
36.66,"205","188",RN,RN 188,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
39.53,"190","18",RP,RP 18,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
0.02,"1025","188",RN,RN 188,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
1.72,"204","188",RN,RN 188,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
46.64,"678","8",RN,RN 8,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
63.70,"206","188",RN,RN 188,BUENOS AIRES,Pavimento,"1","1",Ruta,L,"109","79"
54.22,"640","7",RN,RN 7,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
33.49,"383","31",RP,RP 31,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
32.71,"217","191",RP,RP 191,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
5.67,"639","7",RN,RN 7,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
48.15,"577","51",RP,RP 51,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
0.69,"680","8",RN,RN 8,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
1.76,"677","8",RN,RN 8,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
61.94,"571","51",RP,RP 51,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
49.65,"218","191",RP,RP 191,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
42.67,"717","9",RN,RN 9,BUENOS AIRES,Pavimento,"0","1",Autopista,L,"138","80"
48.41,"261","205",RN,RN 205,BUENOS AIRES,Pavimento,"1","1",Ruta,L,"109","79"
85.70,"372","30",RP,RP 30,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
61.56,"543","5",RN,RN 5,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
139.49,"222",1V0,RN,RN 1V0,CORDOBA,Pavimento,"0","1",Autopista,L,"138","80"
80.27,"722","9",RN,RN 9,CORDOBA,Pavimento,"0","1",Ruta,L,"109","79"
152.43,"163","158",RN,RN 158,CORDOBA,Pavimento,"0","1",Ruta,L,"109","79"
53.92,"361","3",RP,RP 3,CORDOBA,Pavimento,"0","1",Ruta,L,"109","79"
8.83,"775","93",RP,RP 93,SANTA FE,Pavimento,"0","1",Ruta,L,"109","79"
41.86,"730","9",RN,RN 9,SANTA FE,Pavimento,"0","1",Ruta,L,"109","79"
95.83,"224",1V0,RN,RN 1V0,SANTA FE,Pavimento,"1",,Autopista,L,"138","80"
82.40,"121","14",RP,RP 14,SANTA FE,Pavimento,"1","1",Ruta,L,"109","79"
81.65,"406","33",RN,RN 33,SANTA FE,Pavimento,"1","1",Ruta,L,"109","79"
205.22,"977","178",RN,RN 178,SANTA FE,Pavimento,"0","1",Ruta,L,"109","79"
14.20,"813",A01,RN,RN A01,SANTA FE,Pavimento,"0","1",Ruta,L,"109","79"
51.92,"726","9",RN,RN 9,SANTA FE,Pavimento,"0","1",Ruta,L,"109","79"
10.31,"810",A01,RN,RN A01,SANTA FE,Pavimento,"0","1",AutovIa,L,"112","80"
2.12,"811",A01,RN,RN A01,SANTA FE,Pavimento,"0",,Ruta,L,"109","79"
12.58,"405","33",RN,RN 33,SANTA FE,Pavimento,"0","1",Ruta,L,"109","79"
7.73,"223",1V0,RN,RN 1V0,SANTA FE,Pavimento,"0","2",Autopista,L,"138","80"
7.22,"727","9",RN,RN 9,SANTA FE,Pavimento,"0","1",Ruta,L,"109","79"
2.17,"439","345",RP,RP 345,SANTA FE,SIN DATO,"0",,Ruta,L,,
11.69,"808",A01,RN,RN A01,SANTA FE,Pavimento,"0","1",Ruta,L,"109","79"
57.27,"214","19",RN,RN 19,SANTA FE,Pavimento,"0","1",AutovIa,L,"112","80"
173.83,"415","34",RN,RN 34,SANTA FE,Pavimento,"1","1",Ruta,L,"109","79"
82.16,"822",A90,RP,RP A90,SANTA FE,SIN DATO,"1",,Autopista,L,,
71.39,"207","19",RN,RN 19,SANTA FE,Pavimento,"1","1",AutovIa,L,"112","80"
49.83,"834",GRA,RP,RP GRA,SANTA FE,Pavimento,"1",,Autopista,L,"138","80"
17.13,"211","19",RN,RN 19,CORDOBA,Pavimento,"0","1",Ruta,L,"109","79"
42.90,"362","3",RP,RP 3,CORDOBA,Pavimento,"0","1",Ruta,L,"109","79"
68.76,"177","17",RP,RP 17,CORDOBA,Pavimento,"0","1",Ruta,L,"109","79"
49.89,"212","19",RN,RN 19,CORDOBA,Pavimento,"1","1",Ruta,L,"109","79"
2.59,"213","19",RN,RN 19,CORDOBA,Pavimento,"0","1",Avenida,L,"60","45"
60.13,"4","1",RP,RP 1,CORDOBA,Pavimento,"0","1",Ruta,L,"109","79"
40.19,"5","1",RP,RP 1,CORDOBA,SIN DATO,"0","1",Ruta,L,,
13.85,"83","12",RP,RP 12,SANTA FE,SIN DATO,"0",,Ruta,L,,
30.16,"681","8",RN,RN 8,BUENOS AIRES,Pavimento,"0","1",Autopista,L,"138","80"
2.37,"643","7",RN,RN 7,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
21.65,"586","6",RP,RP 6,BUENOS AIRES,Pavimento,"0","2",AutovIa,L,"112","80"
31.69,"219","193",RN,RN 193,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
24.79,"585","6",RP,RP 6,BUENOS AIRES,Pavimento,"0","2",AutovIa,L,"112","80"
9.75,"719","9",RN,RN 9,BUENOS AIRES,Pavimento,"0","1",Autopista,L,"138","80"
12.57,"1699","7",RN,RN 7,BUENOS AIRES,Pavimento,"1","1",Autopista,L,"138","80"
6.37,"1131","24",RP,RP 24,BUENOS AIRES,Pavimento,"0","2",Ruta,L,"109","79"
6.96,"1128","24",RP,RP 24,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
3.24,"1130","24",RP,RP 24,BUENOS AIRES,Pavimento,"0","2",Ruta,L,"109","79"
0.92,"1127","24",RP,RP 24,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
1.60,"1129","24",RP,RP 24,BUENOS AIRES,Pavimento,"0","2",Ruta,L,"109","79"
35.62,"672","8",RN,RN 8,BUENOS AIRES,Pavimento,"1",,Autopista,L,"138","80"
43.18,"718","9",RN,RN 9,BUENOS AIRES,Pavimento,"1","1",Autopista,L,"138","80"
79.63,"55","12",RN,RN 12,ENTRE RIOS,Pavimento,"1","2",AutovIa,L,"112","80"
122.34,"710","88",RP,RP 88,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
89.98,"281","226",RN,RN 226,BUENOS AIRES,Pavimento,"1","1",Ruta,L,"109","79"
6.70,"709","88",RP,RP 88,BUENOS AIRES,Pavimento,"0","1",Avenida,L,"60","45"
6.80,"39","11",RP,RP 11,BUENOS AIRES,Pavimento,"0","1",Avenida,L,"60","45"
2.62,"230","2",RP,RP 2,BUENOS AIRES,Pavimento,"0","2",Avenida,L,"60","45"
30.17,"858","226",RN,RN 226,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
52.72,"329","29",RP,RP 29,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
12.76,"331","29",RP,RP 29,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
12.46,"563","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
5.71,"659","74",RP,RP 74,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
103.17,"231","2",RP,RP 2,BUENOS AIRES,Pavimento,"0","2",AutovIa,L,"112","80"
57.53,"658","74",RP,RP 74,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
22.85,"232","2",RP,RP 2,BUENOS AIRES,Pavimento,"0","2",AutovIa,L,"112","80"
156.22,"330","29",RP,RP 29,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
69.71,"234","2",RP,RP 2,BUENOS AIRES,Pavimento,"1","2",AutovIa,L,"112","80"
26.94,"233","2",RP,RP 2,BUENOS AIRES,Pavimento,"0","2",AutovIa,L,"112","80"
74.83,"516","41",RP,RP 41,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
29.74,"449","35",RN,RN 35,CORDOBA,Pavimento,"0","1",Ruta,L,"109","79"
30.10,"198","188",RN,RN 188,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
106.25,"632","7",RN,RN 7,CORDOBA,Pavimento,"1","1",AutovIa,L,"112","80"
97.79,"450","35",RN,RN 35,CORDOBA,Pavimento,"0","1",Ruta,L,"109","79"
81.48,"451","35",RN,RN 35,CORDOBA,Pavimento,"0","1",Ruta,L,"109","79"
35.09,"20","101",RP,RP 101,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
37.15,"651","7",RP,RP 7,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
44.32,"485","4",RP,RP 4,LA PAMPA,Pavimento,"0","1",Ruta,L,"109","79"
87.73,"199","188",RN,RN 188,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
37.62,"1798","70",RP,RP 70,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
0.07,"652","70",RP,RP 70,BUENOS AIRES,SIN DATO,"0",,Ruta,L,,
44.36,"398","33",RN,RN 33,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
0.32,"200","188",RN,RN 188,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
0.48,"291","226",RN,RN 226,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
0.46,"399","33",RN,RN 33,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
3.60,"292","226",RN,RN 226,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
94.04,"633","7",RN,RN 7,CORDOBA,Pavimento,"0","1",Ruta,L,"109","79"
69.20,"634","7",RN,RN 7,CORDOBA,Pavimento,"0","1",Ruta,L,"109","79"
93.70,"489","4",RP,RP 4,CORDOBA,Pavimento,"0","1",Ruta,L,"109","79"
235.22,"347","3",RN,RN 3,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
98.47,"927","35",RN,RN 35,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
26.03,"335","3",RN,RN 3,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
144.57,"663","76",RP,RP 76,BUENOS AIRES,Tierra,"0","1",Ruta,L,"59","43"
5.12,"441","35",RN,RN 35,BUENOS AIRES,Pavimento,"0",,Avenida,L,"60","45"
0.69,"389","33",RN,RN 33,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
7.22,"220",1V0,RN,RN 1V0,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
2.26,"348","3",RN,RN 3,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
76.71,"391","33",RN,RN 33,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
56.50,"390","33",RN,RN 33,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
82.69,"349","3",RN,RN 3,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
117.08,"568","51",RP,RP 51,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
81.75,"693","85",RP,RP 85,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
38.64,"766","90",RP,RP 90,SANTA FE,Pavimento,"0","1",Ruta,L,"109","79"
18.81,"773","93",RP,RP 93,SANTA FE,Pavimento,"0","1",Ruta,L,"109","79"
15.17,"774","93",RP,RP 93,SANTA FE,Pavimento,"0","1",Ruta,L,"109","79"
47.63,"637","7",RN,RN 7,BUENOS AIRES,Pavimento,"1","1",Ruta,L,"109","79"
2.05,"1134","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
0.99,"1328","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
1.00,"1327","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
1.09,"1326","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
0.97,"1325","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
4.09,"1136","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
2.32,"1324","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
1.02,"1323","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
1.47,"1322","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
2.09,"1137","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
4.41,"1321","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
0.92,"1320","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
1.97,"1319","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
0.61,"1330","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
3.82,"1138","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
2.42,"1318","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
1.57,"1317","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
55.29,"202","188",RN,RN 188,BUENOS AIRES,Pavimento,"1","1",Ruta,L,"109","79"
20.93,"1316","50",RP,RP 50,BUENOS AIRES,Pavimento,"0",,Ruta,L,"109","79"
29.78,"1701","8",RN,RN 8,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
65.45,"767","90",RP,RP 90,SANTA FE,Pavimento,"0","1",Ruta,L,"109","79"
10.86,"676","8",RN,RN 8,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
38.04,"381","31",RP,RP 31,BUENOS AIRES,SIN DATO,"0","1",Ruta,L,,
107.41,"702","86",RP,RP 86,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
85.32,"570","51",RP,RP 51,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
6.73,"704","86",RP,RP 86,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
94.54,"354","3",RN,RN 3,BUENOS AIRES,Pavimento,"0","1",Ruta,L,"109","79"
26.33,"290","226",RN,RN 226,BUENOS AIRES,Pavimento,"1","1",AutovIa,L,"112","80"
8.51,"853","7",RN,RN 7,SAN LUIS,Pavimento,"0","2",Avenida,L,"60","45"
117.73,"134","146",RN,RN 146,SAN LUIS,Pavimento,"0","1",Ruta,L,"109","79"
101.27,"244","20",RN,RN 20,SAN LUIS,Pavimento,"0","1",Ruta,L,"109","79"
85.30,"647","7",RN,RN 7,SAN LUIS,Pavimento,"1","2",AutovIa,L,"112","80"
74.90,"254","20",RP,RP 20,SAN LUIS,Pavimento,"1","2",AutovIa,L,"112","80"
