ID,LONGITUDE,LATITUDE,ID1,ID11,TIPO,CENTROIDE,ZONA,RELACION,MULTIPLE_F
58,-57732651,-25290487,58,56,Centroide,CLORINDA,FCL,FCL,58|CLORINDA
4,-63792490,-22489297,4,472,Centroide,TARTAGAL,ATA,ATA,4|TARTAGAL
60,-60590362,-24702814,60,621,Centroide,LAS LOMITAS,FLL,FLL,60|LAS LOMITAS
55,-58586710,-32964245,55,126,Centroide,GUALEGUAYCHU,EGU,EGU,55|GUALEGUAYCHU
120,-64783081,-23786926,120,469,Centroide,LEDESMA,YLE,YLE,120|LEDESMA
115,-59251087,-29124434,115,352,Centroide,GOYA,WGO,WGO,115|GOYA
102,-59662619,-29166512,102,51,Centroide,VERA,SRE,SRE,102|VERA
54,-60479323,-31760839,54,68,Centroide,PARAN�,ECP,ECP,54|PARAN�
56,-59780450,-32392403,56,85,Centroide,NOGOYA,ENO,ENO,56|NOGOYA
57,-59142494,-32315613,57,506,Centroide,ROSARIO DEL TALA,ERT,ERT,57|ROSARIO DEL TA
104,-60574323,-30771134,104,49,Centroide,SAN JUSTO,SSJ,SSJ,104|SAN JUSTO
114,-59524098,-29998206,114,90,Centroide,ESQUINA,WES,WES,114|ESQUINA
65,-62421223,-27657490,65,629,Centroide,QUIMILI,GQU,GQU,65|QUIMILI
70,-60745541,-27556008,70,658,Centroide,VILLA ANGELA,HVA,HVA,70|VILLA ANGELA
64,-62822960,-25819796,64,655,Centroide,MONTE QUEMADO,GMQ,GMQ,64|MONTE QUEMADO
46,-64350899,-33117187,46,399,Centroide,RIO CUARTO,CRC,CRC,46|RIO CUARTO
49,-63247828,-32403375,49,194,Centroide,VILLA MARIA,CVM,CVM,49|VILLA MARIA
41,-64182163,-31421827,41,273,Centroide,CORDOBA,CCP,CCP,41|CORDOBA
42,-64439928,-30288769,42,583,Centroide,DEAN FUNES,CDF,CDF,42|DEAN FUNES
73,-66319550,-27581100,73,541,Centroide,ANDALGALA,KAN,KAN,73|ANDALGALA
75,-65733473,-28467536,75,447,Centroide,CATAMARCA,KCP,KCP,75|CATAMARCA
63,-65095292,-28481293,63,184,Centroide,FRIAS,GFR,GFR,63|FRIAS
103,-60664798,-32955419,103,224,Centroide,ROSARIO,SRO,SRO,103|ROSARIO
83,-55100849,-27491514,83,39,Centroide,OBER�,NOB,NOB,83|OBER�
82,-54560608,-25611694,82,101,Centroide,IGUAZU,NIG,NIG,82|IGUAZU
81,-55916032,-27402909,81,98,Centroide,POSADAS,NCP,NCP,81|POSADAS
